iteration NAG_barzilai-borwein_time_X NAG_barzilai-borwein_time_Y NAG_barzilai-borwein_objective_X NAG_barzilai-borwein_objective_Y NAG_barzilai-borwein_hpwl_X NAG_barzilai-borwein_hpwl_Y NAG_barzilai-borwein_euclidean_norm_X NAG_barzilai-borwein_euclidean_norm_Y
145 384.3 383.90000000000003 3.25177 0.81407 4.03901 1.57388 0.0035597224999999997 0.0032319849999999997
146 387.0 386.5 3.25074 0.81319 4.04113 1.57649 0.00354762 0.003218975
147 389.6 389.1 3.24972 0.81231 4.04325 1.57904 0.00353618 0.003205555
148 392.40000000000003 391.6 3.2487 0.81143 4.04533 1.58161 0.0035251125 0.0031927325
149 395.0 394.2 3.24768 0.81055 4.04742 1.58412 0.003514115 0.00318039
150 397.7 396.90000000000003 3.24667 0.80968 4.04946 1.58666 0.0035028375 0.0031676250000000003
151 400.3 399.6 3.24566 0.80881 4.05151 1.58913 0.003490955 0.0031541
152 402.90000000000003 402.5 3.24466 0.80794 4.05352 1.59164 0.0034781624999999997 0.0031405075
153 405.5 405.2 3.24365 0.80707 4.05553 1.59407 0.00346429 0.003127365
154 408.0 407.90000000000003 3.24266 0.80621 4.0575 1.59654 0.003449365 0.00311436
155 410.5 410.5 3.24167 0.80535 4.05949 1.59894 0.003433725 0.0031008625
156 412.90000000000003 412.90000000000003 3.24068 0.80449 4.06143 1.60137 0.00341792 0.00308697
157 415.3 415.40000000000003 3.2397 0.80364 4.06339 1.60373 0.0034025975 0.0030732475
158 417.8 418.0 3.23872 0.80279 4.0653 1.60612 0.0033882325 0.0030599474999999997
159 420.2 420.8 3.23775 0.80195 4.06725 1.60845 0.0033750475 0.003046685
160 422.6 423.2 3.23678 0.8011 4.06916 1.6108 0.00336294 0.0030331225000000002
161 425.0 425.6 3.23582 0.80027 4.07108 1.61308 0.00335162 0.0030211275
162 427.5 428.1 3.23486 0.79943 4.07294 1.6154 0.0033406725 0.00300906
163 430.0 430.7 3.23391 0.7986 4.07483 1.61765 0.0033297075 0.0029936875000000003
164 432.5 433.2 3.23296 0.79778 4.07666 1.61992 0.003318385 0.0029927575
165 434.90000000000003 435.5 3.23201 0.79696 4.07851 1.62213 0.0033065125000000003 0.0029722725
166 437.3 438.0 3.23106 0.79614 4.08032 1.62437 0.003294035 0.002948855
167 439.8 440.40000000000003 3.23012 0.79533 4.08213 1.62654 0.0032811 0.00293874
168 442.3 442.8 3.22918 0.79453 4.0839 1.62874 0.00326795 0.00293859
169 444.8 445.2 3.22825 0.79373 4.08567 1.63087 0.0032548925 0.0029322375
170 447.2 447.7 3.22732 0.79293 4.08741 1.63303 0.0032421625 0.002914595
171 449.6 450.1 3.22639 0.79214 4.08916 1.63513 0.0032299574999999996 0.0028996275
172 452.0 452.40000000000003 3.22547 0.79136 4.09086 1.63725 0.0032183875 0.0028945075
173 454.40000000000003 454.8 3.22454 0.79058 4.09257 1.63931 0.0032075075000000002 0.0028928325
174 456.8 457.1 3.22363 0.7898 4.09425 1.64139 0.00319724 0.002884045
175 459.09999999999997 459.8 3.22271 0.78903 4.09593 1.64341 0.00318744 0.0028702825
176 461.59999999999997 462.2 3.22179 0.78826 4.09757 1.64546 0.0031779025 0.0028607800000000003
177 463.90000000000003 464.50000000000006 3.22088 0.7875 4.0992 1.64744 0.0031684825 0.0028571200000000003
178 466.3 466.90000000000003 3.21997 0.78675 4.10081 1.64945 0.0031590975 0.0028528
179 468.7 469.3 3.21906 0.786 4.10241 1.65139 0.0031497524999999998 0.002842955
180 471.00000000000006 471.59999999999997 3.21815 0.78525 4.10397 1.65336 0.0031404874999999997 0.0028317375
181 473.40000000000003 474.00000000000006 3.21724 0.78451 4.10554 1.65527 0.0031313825 0.0028241675
182 475.8 476.3 3.21633 0.78377 4.10707 1.65722 0.0031225125 0.0028192125
183 478.09999999999997 478.7 3.21542 0.78304 4.10861 1.65909 0.0031139725 0.002812025
184 480.50000000000006 481.09999999999997 3.21451 0.78231 4.11011 1.661 0.0031058375 0.00280154
185 482.90000000000003 483.50000000000006 3.21361 0.78159 4.11162 1.66284 0.003098175 0.00279145
186 485.40000000000003 486.00000000000006 3.2127 0.78087 4.1131 1.66471 0.0030910275 0.002784085
187 487.8 488.40000000000003 3.21179 0.78015 4.11457 1.66651 0.003084445 0.0027774774999999997
188 490.2 490.8 3.21088 0.77944 4.11601 1.66834 0.00307847 0.0027688775
189 492.59999999999997 493.2 3.20997 0.77874 4.11744 1.6701 0.003073165 0.0027589100000000003
190 495.00000000000006 495.59999999999997 3.20906 0.77804 4.11884 1.67189 0.003068575 0.0027509525
191 497.40000000000003 498.00000000000006 3.20815 0.77734 4.12023 1.67361 0.00306478 0.0027436875
192 499.8 500.40000000000003 3.20725 0.77664 4.1216 1.67537 0.0030618349999999997 0.0027366325
193 502.2 502.8 3.20634 0.77595 4.12295 1.67706 0.0030597750000000003 0.00272904
194 504.59999999999997 505.2 3.20543 0.77527 4.12428 1.67878 0.0030584924999999996 0.00272179
195 507.00000000000006 507.59999999999997 3.20452 0.77458 4.1256 1.68043 0.0030576625000000002 0.0027155875
196 509.40000000000003 510.2 3.20362 0.77391 4.12689 1.68211 0.003056605 0.0027114925
