iteration LSE_center_100000_gamma_time LSE_center_100000_gamma_objective LSE_center_100000_gamma_hpwl LSE_center_100000_gamma_euclidean_norm WA_center_100000_gamma_time WA_center_100000_gamma_objective WA_center_100000_gamma_hpwl WA_center_100000_gamma_euclidean_norm LSE_center_1000_gamma_time LSE_center_1000_gamma_objective LSE_center_1000_gamma_hpwl LSE_center_1000_gamma_euclidean_norm WA_center_1000_gamma_time WA_center_1000_gamma_objective WA_center_1000_gamma_hpwl WA_center_1000_gamma_euclidean_norm
93 1996.8 179.91218 5.2283 0.0235296925 2142.6 4.16637 5.19898 0.027864339999999998 1948.9 6.71641 5.22346 0.047417432499999995 2309.6 5.05675 5.22289 0.0574273525
94 2015.1 179.90723 5.22669 0.023396965000000002 2161.8 4.1626 5.19742 0.027700877500000002 1966.3 6.71563 5.2228 0.0471657475 2330.2 5.0562 5.22247 0.057163372500000004
95 2033.3 179.90228 5.2251 0.023265392500000003 2180.6 4.15884 5.19587 0.027538605 1983.8 6.71486 5.22214 0.0469186925 2350.6 5.05564 5.22205 0.0568997425
96 2051.6 179.89735 5.22348 0.0231349375 2200 4.15509 5.19431 0.0273775325 2001.6 6.71409 5.22147 0.0466761225 2371.4 5.05508 5.22162 0.05663579
97 2069.3 179.89242 5.22186 0.023005559999999998 2218.6 4.15135 5.19276 0.027217665 2018.9 6.71333 5.22081 0.046437777500000006 2391.8 5.05452 5.2212 0.0563715975
98 2087.1 179.8875 5.22023 0.02287724 2238.6 4.14762 5.19121 0.0270590025 2036.7 6.71256 5.22013 0.0462033625 2412.8 5.05397 5.22077 0.0561077375
99 2104.7 179.88259 5.21861 0.022749949999999998 2258 4.14389 5.18964 0.02690156 2054.3 6.71179 5.21946 0.045972582500000005 2433 5.05341 5.22034 0.055844975
100 2122.7 179.87769 5.21698 0.0226236725 2278.6 4.14019 5.18809 0.02674534 2071.8 6.71102 5.21878 0.045745217500000004 2454 5.05286 5.21992 0.055584022500000003
101 2140.6 179.8728 5.21534 0.0224983975 2298.6 4.13649 5.18653 0.026590350000000002 2089.5 6.71026 5.21811 0.045521145 2474.2 5.0523 5.21948 0.0553254625
102 2158.7 179.86792 5.2137 0.022374112499999998 2318.4 4.1328 5.18498 0.026436605 2107 6.7095 5.21742 0.0453003425 2495.2 5.05175 5.21905 0.055069785
103 2176.6 179.86304 5.21206 0.022250812499999998 2337.8 4.12912 5.18343 0.0262841075 2124.5 6.70873 5.21674 0.045082884999999996 2515.6 5.05119 5.21861 0.0548175625
104 2194.8 179.85819 5.21042 0.0221284925 2356.6 4.12546 5.18189 0.0261328675 2142.2 6.70796 5.21605 0.044868905 2536.4 5.05063 5.21818 0.05456961
105 2213.3 179.85333 5.20877 0.022007152500000002 2375.8 4.1218 5.18035 0.025982892499999997 2159.6 6.7072 5.21535 0.044658535 2556.8 5.05008 5.21774 0.054327095
106 2232 179.84848 5.20712 0.0218867925 2395 4.11816 5.1788 0.025834187499999998 2177.3 6.70644 5.21466 0.044451887499999995 2577.6 5.04953 5.21731 0.0540914375
107 2250.9 179.84365 5.20549 0.0217674125 2413.8 4.11453 5.17726 0.0256867675 2195 6.70568 5.21397 0.044249022500000006 2598 5.04897 5.21687 0.05386408
108 2269.2 179.83884 5.20386 0.0216490225 2433.2 4.11091 5.17571 0.0255406325 2212.6 6.70491 5.21326 0.044049925000000004 2618.8 5.04842 5.21643 0.053646124999999996
109 2286.4 179.83402 5.20223 0.02153162 2452.2 4.1073 5.17417 0.0253957875 2230.3 6.70415 5.21256 0.0438545225 2639.4 5.04787 5.21599 0.05343802
110 2304 179.82922 5.20061 0.0214152125 2471.4 4.10371 5.17265 0.0252522425 2247.9 6.70339 5.21186 0.04366268 2660.2 5.04731 5.21554 0.0532394375
111 2321.2 179.82443 5.199 0.0212998075 2490.6 4.10012 5.17112 0.0251100025 2265.3 6.70264 5.21115 0.0434742275 2680.8 5.04677 5.2151 0.05304936
112 2338.6 179.81965 5.1974 0.0211854025 2509.4 4.09656 5.16959 0.024969065000000002 2283.1 6.70188 5.21044 0.043288984999999995 2701.4 5.04621 5.21465 0.052866372499999995
113 2355.8 179.81488 5.19581 0.0210720025 2528.8 4.093 5.16807 0.024829437500000003 2300.6 6.70112 5.20973 0.04310678 2722.2 5.04566 5.21421 0.0526889925
