iteration LSE_100000_gamma_time LSE_100000_gamma_objective LSE_100000_gamma_hpwl LSE_100000_gamma_euclidean_norm LSE_1000_gamma_time LSE_1000_gamma_objective LSE_1000_gamma_hpwl LSE_1000_gamma_euclidean_norm LSE_10_gamma_time LSE_10_gamma_objective LSE_10_gamma_hpwl LSE_10_gamma_euclidean_norm WA_100000_gamma_time WA_100000_gamma_objective WA_100000_gamma_hpwl WA_100000_gamma_euclidean_norm WA_1000_gamma_time WA_1000_gamma_objective WA_1000_gamma_hpwl WA_1000_gamma_euclidean_norm WA_10_gamma_time WA_10_gamma_objective WA_10_gamma_hpwl WA_10_gamma_euclidean_norm
45 1045.3 698.53049 660.94069 0.84263351 1210.9 650.1366 650.0659499999999 0.9902250300000001 1071.4 652.66996 652.66995 1.019598305 1189.2 627.45519 654.83073 0.9725562475 1183.8000000000002 652.61055 652.64258 0.9997687025 1241.6 652.67283 652.6728499999999 1.02033712
46 1062.1999999999998 681.37447 643.2293400000001 0.843567055 1231.1 631.1153300000001 631.04445 0.9894046774999999 1087.6 633.78831 633.78831 1.0187668875 1208.8 608.3646100000001 636.20172 0.9813970175 1203.5 633.72981 633.7624900000001 0.9987285575000001 1261.6 633.79105 633.79106 1.0204981725
47 1078.7 664.8621800000001 626.15444 0.8349378075 1251.3 612.86674 612.7954 0.9919526200000001 1104.3 615.64498 615.64498 1.02208783 1228.6 589.97142 618.25686 0.9838159275 1223.1 615.5864 615.61968 1.00191907 1282.0 615.64979 615.6498 1.02172624
48 1096.4 648.9092 609.62022 0.8366602675 1271.6999999999998 595.2659 595.19425 0.9924112125 1120.5 598.12158 598.12156 1.0229214275 1248.2 572.14143 600.87096 0.9946612250000001 1243.0 598.06222 598.09612 1.0028304774999999 1302.4 598.12425 598.12426 1.02317506
49 1113.6 633.4992500000001 593.6121800000001 0.8291515824999999 1291.8000000000002 578.29749 578.22527 0.998824575 1137.2 581.20304 581.2030199999999 1.0305779075000001 1267.8 554.87762 584.04154 1.0083674224999999 1263.0 581.14387 581.17845 1.009974155 1322.8 581.20579 581.20579 1.03039995
50 1131.6 618.5574799999999 578.04606 0.8317620025 1312.1 561.86948 561.7967100000001 1.00513616 1153.8 564.80264 564.80264 1.03737987 1287.6 538.07503 567.6793299999999 1.0276656775 1283.1 564.7427399999999 564.77799 1.01645162 1342.4 564.8061299999999 564.80614 1.0387462674999999
51 1150.0 604.08118 562.92691 0.8258712175 1332.4 545.98215 545.90891 1.0125866975 1170.0 548.92299 548.9229700000001 1.0472575325 1307.2 521.75187 551.78968 1.0490392474999999 1302.8000000000002 548.86269 548.89852 1.025945115 1363.0 548.9264000000001 548.92641 1.0479369875
52 1168.0 590.0029099999999 548.17553 0.8300645425000001 1352.7 530.54598 530.47221 1.0274370125 1186.7 533.47717 533.47717 1.059217735 1327.0 505.81065 536.2883400000001 1.068810455 1322.9 533.4156 533.45198 1.03799973 1382.8 533.48142 533.48143 1.0610287400000002
53 1185.6 576.33154 533.80915 0.8291498425 1373.3 515.56589 515.4917399999999 1.0384812075 1203.0 518.46915 518.4691399999999 1.0709051374999998 1346.4 490.281 521.19175 1.0886856175 1342.8000000000002 518.4059 518.44292 1.0498816225 1403.0 518.4748 518.4748099999999 1.06809782
54 1203.4 563.00805 519.76194 0.8394354375 1394.5 500.96751000000006 500.89303 1.0532325925000001 1219.4 503.83120999999994 503.83119999999997 1.08845875 1366.4 475.0764 506.43065 1.11363663 1363.0 503.76693 503.80447 1.0685554725000002 1422.6 503.83207 503.83207 1.0930390875
55 1221.2 550.05075 506.05646 0.8453680025000001 1415.8 486.76302 486.68806000000006 1.0588880925 1236.0 489.57877 489.57876 1.0945425 1385.6 460.24877 492.04467 1.121691075 1382.8000000000002 489.51563999999996 489.5538 1.07580397 1442.8 489.58763 489.58764 1.0957375725
56 1238.9 537.4037 492.63262 0.8577406200000001 1437.1 472.87306 472.79724 1.0847911525 1252.3000000000002 475.63289 475.63289 1.118944685 1405.6 445.69471 477.93607 1.1503554249999999 1403.0 475.57318 475.61190999999997 1.098573015 1463.0 475.63698 475.637 1.1206228275
57 1256.7 525.09092 479.52178000000004 0.8567867499999999 1458.1999999999998 459.35361 459.27693999999997 1.08431356 1269.0 462.04976999999997 462.04976 1.1237876500000001 1425.0 431.51308 464.19653000000005 1.1474792425 1423.0 461.98698 462.02641 1.10063924 1482.8 462.05606 462.05606 1.1221325674999998
58 1274.6999999999998 513.05116 466.65359 0.86867304 1479.5 446.09666000000004 446.01934000000006 1.11339555 1285.3000000000002 448.72655 448.72655 1.14785929 1445.0 417.56822999999997 450.70754 1.1764126750000001 1443.1 448.66321000000005 448.70322999999996 1.1272534799999998 1503.2 448.72729000000004 448.7273 1.14381113
